1196,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,7
0,81,20,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
2,12,1289,3,3,34,12,0,0,3,1,0,3,3,1,0,4,7,1,3,2,0,1,0,0,1,0,7,22,8,4,86,10,0,3,3,0,3
0,0,2,343,10,17,1,0,0,4,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,1,7,2,1,0,30,1,0,0,0,0,0
0,0,4,4,1432,134,1,0,0,8,1,0,1,1,2,0,5,5,1,0,0,0,0,0,2,3,1,13,7,75,26,185,6,1,0,0,0,0
1,2,56,13,68,3679,84,0,0,38,1,0,0,2,1,0,1,1,0,1,0,0,1,0,20,7,10,1,19,12,5,8,0,0,0,0,0,23
24,1,14,8,15,128,2557,2,0,131,11,6,10,1,31,5,56,45,6,17,6,3,26,20,7,0,0,0,5,1,1,0,0,0,0,1,0,17
0,0,1,1,3,0,6,18,0,3,1,0,0,1,0,0,1,2,1,9,0,0,2,0,0,5,0,3,2,1,2,21,3,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,2,3,4,2,8,11,0,201,1,1,0,5,2,0,2,4,0,0,0,0,2,0,5,3,0,10,4,6,4,29,11,0,6,0,0,0
0,1,0,0,2,2,29,0,0,1,86,0,0,3,2,0,4,4,0,2,0,0,1,1,3,0,0,4,4,1,3,16,2,0,10,1,0,1
4,0,0,0,1,0,17,0,0,1,0,81,0,0,6,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,5,0,1,1,1,0,1
0,0,4,0,2,0,20,0,0,2,1,0,152,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,3,0,1,15,3,0,3,2,0,0
1,0,2,1,1,0,9,0,0,5,0,0,0,148,0,0,4,0,1,1,1,0,4,0,0,1,0,1,3,1,1,6,1,0,14,5,3,0
3,1,1,1,0,0,54,0,0,1,3,3,0,3,178,2,1,4,2,2,0,0,1,2,1,1,1,1,2,2,1,23,4,1,6,0,0,5
1,0,1,0,0,0,12,0,0,1,1,0,0,0,1,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2,0,8,1,5,7,63,0,0,14,0,1,2,8,0,0,583,13,0,5,1,0,6,0,3,6,2,3,18,10,7,53,17,2,21,1,6,2
4,0,6,0,8,0,81,0,0,12,1,0,0,2,3,0,7,943,0,4,1,1,17,0,9,4,2,6,9,3,6,42,15,3,33,1,10,0
3,0,3,0,0,2,29,0,0,1,0,0,2,0,0,0,5,0,86,4,0,1,1,0,0,1,1,1,3,0,1,15,2,1,3,2,0,1
0,0,0,1,1,1,34,4,0,2,0,0,0,0,0,0,1,1,1,189,0,0,0,0,1,0,1,0,4,1,0,11,3,0,5,1,0,0
2,0,2,0,1,0,24,1,0,2,1,0,0,0,0,0,5,1,1,0,90,2,1,0,0,1,0,0,4,2,0,14,4,1,3,2,0,0
2,0,0,0,1,1,20,0,0,1,10,0,1,1,1,0,0,2,1,1,7,64,0,0,3,1,0,2,3,2,0,11,1,2,7,0,0,0
2,0,2,0,3,3,65,0,0,4,2,0,0,2,1,0,4,16,0,0,0,0,202,0,2,1,3,1,4,5,1,21,1,0,11,3,2,0
4,0,0,0,2,0,21,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,151,1,0,1,2,2,0,0,7,0,0,1,0,1,1
3,0,1,2,3,13,10,0,0,4,4,0,0,0,0,0,3,7,0,1,0,0,7,0,523,1,0,3,10,2,4,36,14,1,9,0,1,0
0,0,0,0,9,10,2,2,0,4,1,0,2,0,0,0,8,5,6,1,0,1,2,0,2,257,3,10,9,3,8,85,7,0,1,0,1,0
0,0,2,1,0,23,0,0,0,2,0,0,2,0,0,0,1,2,0,3,0,0,0,0,0,0,143,6,4,1,2,38,7,0,2,1,0,0
0,0,3,0,12,23,1,0,0,3,1,0,0,5,1,0,6,6,1,1,0,1,1,0,0,8,0,438,5,11,15,116,17,0,1,0,0,1
4,0,22,1,3,29,6,0,0,9,4,0,2,6,0,0,12,11,2,3,0,2,3,0,3,6,3,6,665,6,5,162,16,1,6,2,2,0
0,0,8,0,64,20,2,0,0,6,1,0,1,1,1,0,5,8,2,2,0,0,1,0,1,4,0,10,4,563,13,120,92,0,0,1,0,0
1,0,2,2,40,12,0,0,0,9,1,0,1,2,0,0,3,8,0,2,0,0,5,0,4,7,1,19,7,23,431,261,127,0,2,0,0,1
0,0,54,16,107,11,4,8,0,41,14,0,4,6,7,0,26,33,9,7,4,0,12,0,48,59,26,66,102,64,90,2412,50,4,3,7,3,2
0,0,0,2,2,0,0,0,0,5,1,0,0,1,0,0,3,2,1,5,0,0,0,0,4,2,1,7,5,37,20,66,1875,0,2,0,3,0
1,0,2,0,0,0,7,1,0,6,4,0,4,2,1,0,15,24,3,5,4,4,17,1,4,0,1,1,3,1,1,17,6,14,33,3,10,0
1,0,2,1,2,0,16,2,0,61,18,6,11,25,2,0,30,83,6,19,6,4,16,2,22,2,4,4,7,2,0,56,22,7,147,6,28,0
1,0,6,1,6,0,2,0,0,20,5,0,4,8,3,0,21,24,0,10,1,0,6,0,4,8,3,3,13,4,4,92,1,4,14,17,6,0
0,0,3,1,1,0,0,0,0,14,3,0,0,0,5,0,7,41,1,4,1,0,2,0,10,4,3,2,10,6,3,96,103,3,37,2,34,0
122,1,13,1,20,50,64,0,0,6,0,4,2,1,8,1,22,7,2,4,0,1,1,3,6,2,0,4,9,3,5,15,0,1,5,1,0,2431
